estimator,data_model,hurst,length,scenario,estimated_hurst,error,success,execution_time,framework
Adaptive_DMA,fbm,0.5,2000,pure,0.5165065324564974,0.016506532456497358,True,0.004266262054443359,numba
Adaptive_Higuchi,fbm,0.5,2000,pure,1.4995857603881175,0.9995857603881175,False,0.024272441864013672,numba
Adaptive_GPH,fbm,0.5,2000,pure,0.99,0.49,True,0.48903894424438477,numba
Adaptive_Whittle,fbm,0.5,2000,pure,0.7,0.19999999999999996,True,0.0020341873168945312,numba
Adaptive_Periodogram,fbm,0.5,2000,pure,0.99,0.49,True,0.009862661361694336,numba
Adaptive_RS,fbm,0.5,2000,eeg_ocular_artifacts,1.0090381392725043,0.5090381392725043,False,1.345658540725708,numba
Adaptive_DFA,fbm,0.5,2000,eeg_ocular_artifacts,0.5360783045647253,0.03607830456472527,True,0.09802794456481934,numpy
Adaptive_DMA,fbm,0.5,2000,eeg_ocular_artifacts,0.4772028471405445,0.022797152859455494,True,0.004229307174682617,numpy
Adaptive_Higuchi,fbm,0.5,2000,eeg_ocular_artifacts,1.5286962017252597,1.0286962017252597,False,0.02374744415283203,numpy
Adaptive_GPH,fbm,0.5,2000,eeg_ocular_artifacts,0.99,0.49,True,0.011075496673583984,numpy
Adaptive_Whittle,fbm,0.5,2000,eeg_ocular_artifacts,0.7,0.19999999999999996,True,0.003154277801513672,numpy
Adaptive_Periodogram,fbm,0.5,2000,eeg_ocular_artifacts,0.99,0.49,True,0.011304616928100586,numpy
Adaptive_RS,fbm,0.5,2000,eeg_muscle_artifacts,0.9489274293012293,0.4489274293012293,True,1.6330857276916504,numpy
Adaptive_DFA,fbm,0.5,2000,eeg_muscle_artifacts,0.16826592979606858,0.3317340702039314,True,0.09200692176818848,numba
Adaptive_DMA,fbm,0.5,2000,eeg_muscle_artifacts,-0.056283510349576196,0.5562835103495762,False,0.0036821365356445312,numba
Adaptive_Higuchi,fbm,0.5,2000,eeg_muscle_artifacts,1.1176201577187792,0.6176201577187792,False,0.019452810287475586,numba
Adaptive_GPH,fbm,0.5,2000,eeg_muscle_artifacts,0.9878694266080856,0.48786942660808563,True,0.008942127227783203,numba
Adaptive_Whittle,fbm,0.5,2000,eeg_muscle_artifacts,0.7,0.19999999999999996,True,0.0015993118286132812,numba
Adaptive_Periodogram,fbm,0.5,2000,eeg_muscle_artifacts,0.878163754940033,0.37816375494003296,True,0.007955312728881836,numba
Adaptive_RS,fbm,0.5,2000,eeg_60hz_noise,1.0754920699656922,0.5754920699656922,False,1.576460361480713,numba
Adaptive_DFA,fbm,0.5,2000,eeg_60hz_noise,0.10389387494657948,0.3961061250534205,True,0.10226774215698242,numpy
Adaptive_DMA,fbm,0.5,2000,eeg_60hz_noise,0.2628214356458445,0.23717856435415552,True,0.004664182662963867,numpy
Adaptive_Higuchi,fbm,0.5,2000,eeg_60hz_noise,0.8527967146845234,0.35279671468452345,True,0.02536296844482422,numpy
Adaptive_GPH,fbm,0.5,2000,eeg_60hz_noise,0.99,0.49,True,0.01111745834350586,numpy
Adaptive_Whittle,fbm,0.5,2000,eeg_60hz_noise,0.7,0.19999999999999996,True,0.0025205612182617188,numpy
Adaptive_Periodogram,fbm,0.5,2000,eeg_60hz_noise,0.99,0.49,True,0.009365558624267578,numpy
Adaptive_RS,fbm,0.5,2000,eeg_movement_artifacts,0.9116764466162549,0.4116764466162549,True,1.647308111190796,numpy
Adaptive_DFA,fbm,0.5,2000,eeg_movement_artifacts,0.15926070360515934,0.3407392963948407,True,0.10719490051269531,numba
Adaptive_DMA,fbm,0.5,2000,eeg_movement_artifacts,0.05277631569644301,0.44722368430355697,True,0.004626750946044922,numba
Adaptive_Higuchi,fbm,0.5,2000,eeg_movement_artifacts,1.0542187005724997,0.5542187005724997,False,0.025156736373901367,numba
Adaptive_GPH,fbm,0.5,2000,eeg_movement_artifacts,0.6707427985966206,0.17074279859662056,True,0.011667013168334961,numba
Adaptive_Whittle,fbm,0.5,2000,eeg_movement_artifacts,0.7,0.19999999999999996,True,0.0024309158325195312,numba
Adaptive_Periodogram,fbm,0.5,2000,eeg_movement_artifacts,0.5617124773561954,0.06171247735619545,True,0.008638143539428711,numba
Adaptive_RS,fgn,0.5,2000,pure,0.6036731725839342,0.10367317258393416,True,1.3726654052734375,numba
Adaptive_DFA,fgn,0.5,2000,pure,0.040060020920335164,0.45993997907966483,True,0.09826397895812988,numpy
Adaptive_DMA,fgn,0.5,2000,pure,0.018854446162331197,0.4811455538376688,True,0.003941059112548828,numpy
Adaptive_Higuchi,fgn,0.5,2000,pure,1.0068462654760482,0.5068462654760482,False,0.021380901336669922,numpy
Adaptive_GPH,fgn,0.5,2000,pure,0.6263741366565228,0.12637413665652275,True,0.008418798446655273,numpy
Adaptive_Whittle,fgn,0.5,2000,pure,0.7,0.19999999999999996,True,0.0020940303802490234,numpy
Adaptive_Periodogram,fgn,0.5,2000,pure,0.5173274502158165,0.017327450215816498,True,0.00640416145324707,numpy
Adaptive_RS,fgn,0.5,2000,eeg_ocular_artifacts,0.6841769892527584,0.18417698925275838,True,1.4002723693847656,numpy
Adaptive_DFA,fgn,0.5,2000,eeg_ocular_artifacts,0.9711884433271887,0.4711884433271887,True,0.10382580757141113,numba
Adaptive_DMA,fgn,0.5,2000,eeg_ocular_artifacts,0.1699164252403165,0.33008357475968353,True,0.0037872791290283203,numba
Adaptive_Higuchi,fgn,0.5,2000,eeg_ocular_artifacts,1.7790922730788068,1.2790922730788068,False,0.02632594108581543,numba
Adaptive_GPH,fgn,0.5,2000,eeg_ocular_artifacts,0.99,0.49,True,0.012512445449829102,numba
Adaptive_Whittle,fgn,0.5,2000,eeg_ocular_artifacts,0.7,0.19999999999999996,True,0.0025377273559570312,numba
Adaptive_Periodogram,fgn,0.5,2000,eeg_ocular_artifacts,0.99,0.49,True,0.01045989990234375,numba
Adaptive_RS,fgn,0.5,2000,eeg_muscle_artifacts,0.5983322682354342,0.09833226823543417,True,1.5962705612182617,numba
Adaptive_DFA,fgn,0.5,2000,eeg_muscle_artifacts,0.1362431325465359,0.36375686745346414,True,0.10528230667114258,numpy
Adaptive_DMA,fgn,0.5,2000,eeg_muscle_artifacts,0.030907426337068118,0.4690925736629319,True,0.005223274230957031,numpy
Adaptive_Higuchi,fgn,0.5,2000,eeg_muscle_artifacts,1.0108317685751054,0.5108317685751054,False,0.025173425674438477,numpy
Adaptive_GPH,fgn,0.5,2000,eeg_muscle_artifacts,0.8814534097909927,0.38145340979099274,True,0.012009143829345703,numpy
Adaptive_Whittle,fgn,0.5,2000,eeg_muscle_artifacts,0.7,0.19999999999999996,True,0.0021402835845947266,numpy
Adaptive_Periodogram,fgn,0.5,2000,eeg_muscle_artifacts,0.7715122997760773,0.27151229977607727,True,0.008605241775512695,numpy
Adaptive_RS,fgn,0.5,2000,eeg_60hz_noise,0.13374355875166002,0.36625644124834,True,1.514739751815796,numpy
Adaptive_DFA,fgn,0.5,2000,eeg_60hz_noise,0.009006157196146563,0.49099384280385344,True,0.09960365295410156,numpy
Adaptive_DMA,fgn,0.5,2000,eeg_60hz_noise,0.02111703438933262,0.4788829656106674,True,0.00426483154296875,numpy
Adaptive_Higuchi,fgn,0.5,2000,eeg_60hz_noise,0.7778894376468211,0.27788943764682106,True,0.024181127548217773,numpy
Adaptive_GPH,fgn,0.5,2000,eeg_60hz_noise,0.5031914263963699,0.003191426396369934,True,0.012234687805175781,numpy
Adaptive_Whittle,fgn,0.5,2000,eeg_60hz_noise,0.7,0.19999999999999996,True,0.002928018569946289,numpy
Adaptive_Periodogram,fgn,0.5,2000,eeg_60hz_noise,0.3943714201450348,0.10562857985496521,True,0.009897232055664062,numpy
Adaptive_RS,fgn,0.5,2000,eeg_movement_artifacts,0.6036731725839342,0.10367317258393416,True,1.5994181632995605,numpy
Adaptive_DFA,fgn,0.5,2000,eeg_movement_artifacts,0.040060020920335164,0.45993997907966483,True,0.10522270202636719,numba
