Category,Estimator,True_H,Estimated_H,Error,Execution_Time,Data_Model
Comprehensive,WaveletLeaders,0.7,0.24791390445107184,0.4520860955489281,0.012740612030029297,fBm
Comprehensive,RandomForest,0.7,0.1,0.6,0.0007200241088867188,fBm
Comprehensive,GradientBoosting,0.7,0.14220414440846177,0.5577958555915382,0.00022554397583007812,fBm
Comprehensive,SVR,0.7,0.7387080494458688,0.03870804944586881,4.601478576660156e-05,fBm
Comprehensive,CNN,0.7,0.5103973150253296,0.18960268497467037,0.0006203651428222656,fBm
Comprehensive,LSTM,0.7,0.6207972440120414,0.07920275598795856,0.16602659225463867,fBm
Comprehensive,GRU,0.7,0.5529456675608068,0.1470543324391932,0.15179824829101562,fBm
Comprehensive,Transformer,0.7,0.5334795713424683,0.1665204286575317,0.002090930938720703,fBm
Comprehensive,R/S,0.7,0.8305480449301419,0.13054804493014194,0.028325557708740234,fGn
Comprehensive,DFA,0.7,0.11367022617423962,0.5863297738257603,0.006678104400634766,fGn
Comprehensive,DMA,0.7,0.7638520431341566,0.0638520431341566,0.0007450580596923828,fGn
Comprehensive,Higuchi,0.7,0.7927033677471238,0.09270336774712384,0.0023534297943115234,fGn
Comprehensive,GPH,0.7,0.9115031808614731,0.21150318086147313,0.0013270378112792969,fGn
Comprehensive,Whittle,0.7,0.7,0.0,0.0003108978271484375,fGn
Comprehensive,Periodogram,0.7,0.7617535591125488,0.06175355911254887,0.0009551048278808594,fGn
Comprehensive,CWT,0.7,0.565727806148633,0.1342721938513669,0.07875299453735352,fGn
Comprehensive,WaveletVar,0.7,1.2184861141399432,0.5184861141399433,0.0009551048278808594,fGn
Comprehensive,WaveletLogVar,0.7,0.9980166242875723,0.29801662428757236,0.00042939186096191406,fGn
Comprehensive,WaveletWhittle,0.7,0.010005841643766819,0.6899941583562331,0.007088661193847656,fGn
Comprehensive,MFDFA,0.7,0.22832711488587268,0.4716728851141273,0.10501956939697266,fGn
Comprehensive,WaveletLeaders,0.7,0.10362264060187495,0.596377359398125,0.012692928314208984,fGn
Comprehensive,RandomForest,0.7,0.1,0.6,0.00032258033752441406,fGn
Comprehensive,GradientBoosting,0.7,0.12174957062817487,0.5782504293718251,0.0002014636993408203,fGn
Comprehensive,SVR,0.7,0.7244105391612646,0.024410539161264677,5.054473876953125e-05,fGn
Comprehensive,CNN,0.7,0.5090654492378235,0.19093455076217647,0.0006430149078369141,fGn
Comprehensive,LSTM,0.7,0.5938969664602485,0.10610303353975148,0.18084263801574707,fGn
Comprehensive,GRU,0.7,0.5403224813524063,0.1596775186475936,0.16917777061462402,fGn
Comprehensive,Transformer,0.7,0.5375539064407349,0.1624460935592651,0.0021080970764160156,fGn
Comprehensive,R/S,0.3,0.7919119677755598,0.49191196777555984,0.027597904205322266,ARFIMAModel
Comprehensive,DFA,0.3,0.16576866586142952,0.13423133413857047,0.006413459777832031,ARFIMAModel
Comprehensive,DMA,0.3,0.75141931763241,0.45141931763241,0.0011913776397705078,ARFIMAModel
Comprehensive,Higuchi,0.3,0.7901923882390407,0.4901923882390407,0.0021719932556152344,ARFIMAModel
Comprehensive,GPH,0.3,0.8171238899230957,0.5171238899230957,0.0010364055633544922,ARFIMAModel
Comprehensive,Whittle,0.3,0.7,0.39999999999999997,0.0003142356872558594,ARFIMAModel
Comprehensive,Periodogram,0.3,0.6675775200128555,0.36757752001285554,0.0008313655853271484,ARFIMAModel
Comprehensive,CWT,0.3,1.25732925437232,0.95732925437232,0.07698535919189453,ARFIMAModel
Comprehensive,WaveletVar,0.3,1.4881369130979643,1.1881369130979642,0.0009279251098632812,ARFIMAModel
Comprehensive,WaveletLogVar,0.3,1.1849243153210618,0.8849243153210617,0.00045680999755859375,ARFIMAModel
Comprehensive,WaveletWhittle,0.3,0.010005841643766819,0.28999415835623316,0.0069599151611328125,ARFIMAModel
Comprehensive,MFDFA,0.3,0.38166777961504195,0.08166777961504196,0.10983872413635254,ARFIMAModel
Comprehensive,WaveletLeaders,0.3,0.24645138501672942,0.05354861498327057,0.012344598770141602,ARFIMAModel
Comprehensive,RandomForest,0.3,0.1,0.19999999999999998,0.00034356117248535156,ARFIMAModel
Comprehensive,GradientBoosting,0.3,0.1529254798326064,0.14707452016739359,0.0002052783966064453,ARFIMAModel
Comprehensive,SVR,0.3,0.7679774501701517,0.46797745017015174,4.5299530029296875e-05,ARFIMAModel
Comprehensive,CNN,0.3,0.506873607635498,0.20687360763549806,0.0006022453308105469,ARFIMAModel
Comprehensive,LSTM,0.3,0.6708530525134229,0.3708530525134229,0.17252206802368164,ARFIMAModel
Comprehensive,GRU,0.3,0.58201146239514,0.28201146239514,0.15151762962341309,ARFIMAModel
Comprehensive,Transformer,0.3,0.5372821688652039,0.23728216886520387,0.0021359920501708984,ARFIMAModel
Comprehensive,R/S,0.7,0.706203755294934,0.006203755294933999,0.027181625366210938,MRW
Comprehensive,DFA,0.7,0.21507348327214718,0.4849265167278528,0.006487369537353516,MRW
Comprehensive,DMA,0.7,0.6521077591472725,0.047892240852727475,0.0007317066192626953,MRW
Comprehensive,Higuchi,0.7,0.7372871069064884,0.0372871069064884,0.002331972122192383,MRW
Comprehensive,GPH,0.7,0.7721382305026054,0.07213823050260548,0.0014231204986572266,MRW
Comprehensive,Whittle,0.7,0.7,0.0,0.00030684471130371094,MRW
Comprehensive,Periodogram,0.7,0.6225947663187981,0.07740523368120189,0.0007278919219970703,MRW
Comprehensive,CWT,0.7,0.6027922593495,0.09720774065049997,0.0764920711517334,MRW
Comprehensive,WaveletVar,0.7,0.9344869388928603,0.23448693889286032,0.0009744167327880859,MRW
Comprehensive,WaveletLogVar,0.7,0.8011633966837073,0.10116339668370733,0.000431060791015625,MRW
Comprehensive,WaveletWhittle,0.7,0.010005841643766819,0.6899941583562331,0.006953239440917969,MRW
Comprehensive,MFDFA,0.7,0.2009083161599043,0.49909168384009567,0.10608530044555664,MRW
Comprehensive,WaveletLeaders,0.7,0.04313929587633733,0.6568607041236626,0.012972831726074219,MRW
Comprehensive,RandomForest,0.7,0.1,0.6,0.0005486011505126953,MRW
Comprehensive,GradientBoosting,0.7,0.26039611686014763,0.4396038831398523,0.00023126602172851562,MRW
Comprehensive,SVR,0.7,0.6853313361258849,0.014668663874115029,4.458427429199219e-05,MRW
Comprehensive,CNN,0.7,0.5075337290763855,0.19246627092361446,0.0005955696105957031,MRW
Comprehensive,LSTM,0.7,0.573334242669478,0.126665757330522,0.16750407218933105,MRW
Comprehensive,GRU,0.7,0.5398631905851609,0.1601368094148391,0.13909125328063965,MRW
Comprehensive,Transformer,0.7,0.5353689193725586,0.16463108062744136,0.0017731189727783203,MRW
